id,status,total,created_at,customer_name
150,CONFIRMED,454,2025-02-12T00:00:00,Grace
151,CONFIRMED,7574,2025-04-04T00:00:00,Alice
152,CONFIRMED,5373,2025-04-19T00:00:00,Henry
153,CONFIRMED,6221,2025-05-23T00:00:00,Grace
154,CONFIRMED,1351,2025-08-29T00:00:00,Alice
155,SHIPPED,863,2025-06-29T00:00:00,Dave
156,SHIPPED,669,2025-01-16T00:00:00,Dave
157,CONFIRMED,343,2025-11-15T00:00:00,Carol
158,CONFIRMED,7768,2025-12-09T00:00:00,Bob
159,CONFIRMED,3581,2025-08-27T00:00:00,Eve
160,SHIPPED,2759,2025-11-07T00:00:00,Jack
161,CANCELLED,1886,2025-03-25T00:00:00,Eve
162,CONFIRMED,430,2025-06-09T00:00:00,Jack
163,SHIPPED,6159,2025-07-23T00:00:00,Dave
164,DRAFT,3988,2025-02-22T00:00:00,Eve
165,SHIPPED,9847,2025-03-03T00:00:00,Jack
166,SHIPPED,5698,2025-09-30T00:00:00,Grace
167,SHIPPED,1139,2025-09-17T00:00:00,Frank
168,DRAFT,6892,2025-09-08T00:00:00,Bob
169,CONFIRMED,5944,2025-11-22T00:00:00,Henry
170,SHIPPED,7145,2025-04-01T00:00:00,Iris
171,CANCELLED,4435,2025-11-12T00:00:00,Iris
172,SHIPPED,7626,2025-08-12T00:00:00,Jack
173,CONFIRMED,4032,2025-02-14T00:00:00,Eve
174,SHIPPED,4005,2025-08-26T00:00:00,Jack
175,SHIPPED,6219,2025-06-22T00:00:00,Alice
176,CONFIRMED,5335,2025-04-04T00:00:00,Henry
177,CONFIRMED,4242,2025-06-24T00:00:00,Eve
178,SHIPPED,4536,2025-10-12T00:00:00,Alice
179,CONFIRMED,3140,2025-02-13T00:00:00,Dave
180,SHIPPED,8014,2025-10-12T00:00:00,Dave
181,SHIPPED,8051,2025-08-18T00:00:00,Alice
182,DRAFT,3640,2025-07-27T00:00:00,Dave
183,CONFIRMED,9538,2025-07-08T00:00:00,Henry
184,CONFIRMED,5642,2025-08-06T00:00:00,Iris
185,CONFIRMED,7444,2025-05-19T00:00:00,Eve
186,CONFIRMED,1986,2025-04-09T00:00:00,Frank
187,CONFIRMED,8789,2025-12-20T00:00:00,Carol
188,CONFIRMED,7943,2025-05-22T00:00:00,Jack
189,CANCELLED,8605,2025-11-02T00:00:00,Eve
190,CANCELLED,3190,2025-06-01T00:00:00,Dave
191,CONFIRMED,4962,2025-01-08T00:00:00,Iris
192,CONFIRMED,755,2025-01-28T00:00:00,Iris
193,CONFIRMED,2078,2025-11-23T00:00:00,Henry
194,CONFIRMED,210,2025-10-21T00:00:00,Eve
195,CONFIRMED,7226,2025-06-24T00:00:00,Carol
196,CANCELLED,4146,2025-09-02T00:00:00,Bob
197,SHIPPED,6575,2025-09-09T00:00:00,Bob
198,CONFIRMED,888,2025-03-19T00:00:00,Carol
199,SHIPPED,4988,2025-02-13T00:00:00,Dave
200,CONFIRMED,6828,2025-11-07T00:00:00,Jack
201,SHIPPED,3707,2025-09-25T00:00:00,Grace
202,CONFIRMED,7263,2025-06-02T00:00:00,Jack
203,CANCELLED,5013,2025-10-19T00:00:00,Jack
204,DRAFT,1635,2025-04-17T00:00:00,Dave
205,CONFIRMED,1340,2025-03-22T00:00:00,Dave
206,CONFIRMED,1239,2025-03-22T00:00:00,Alice
207,CONFIRMED,9739,2025-08-29T00:00:00,Eve
208,DRAFT,4730,2025-12-28T00:00:00,Eve
209,SHIPPED,7448,2025-02-06T00:00:00,Dave
210,CANCELLED,9673,2025-12-05T00:00:00,Dave
211,CONFIRMED,8932,2025-04-26T00:00:00,Carol
212,CANCELLED,2340,2025-02-06T00:00:00,Alice
213,CONFIRMED,5049,2025-11-01T00:00:00,Jack
214,CANCELLED,7205,2025-03-05T00:00:00,Henry
215,SHIPPED,6604,2025-05-20T00:00:00,Iris
216,CONFIRMED,7182,2025-02-11T00:00:00,Jack
217,DRAFT,7088,2025-06-15T00:00:00,Jack
218,CONFIRMED,1506,2025-04-28T00:00:00,Jack
219,CONFIRMED,349,2025-12-11T00:00:00,Eve
220,CONFIRMED,2880,2025-08-29T00:00:00,Iris
221,SHIPPED,4567,2025-04-03T00:00:00,Jack
222,CONFIRMED,8066,2025-02-16T00:00:00,Henry
223,CONFIRMED,5470,2025-06-14T00:00:00,Bob
224,SHIPPED,5413,2025-07-30T00:00:00,Henry
225,CONFIRMED,6571,2025-10-09T00:00:00,Alice
226,CONFIRMED,5163,2025-05-10T00:00:00,Frank
227,CONFIRMED,6632,2025-09-21T00:00:00,Alice
228,SHIPPED,8899,2025-08-25T00:00:00,Grace
229,DRAFT,8504,2025-07-05T00:00:00,Jack
230,SHIPPED,7252,2025-01-27T00:00:00,Dave
231,CONFIRMED,2156,2025-05-28T00:00:00,Henry
232,SHIPPED,7951,2025-03-04T00:00:00,Alice
233,CANCELLED,9985,2025-05-03T00:00:00,Carol
234,CONFIRMED,234,2025-10-10T00:00:00,Grace
235,DRAFT,1868,2025-08-25T00:00:00,Bob
236,SHIPPED,2532,2025-09-13T00:00:00,Eve
237,CONFIRMED,4489,2025-08-01T00:00:00,Henry
238,CANCELLED,4003,2025-08-22T00:00:00,Iris
239,CONFIRMED,3132,2025-11-03T00:00:00,Iris
240,SHIPPED,2246,2025-02-05T00:00:00,Eve
241,SHIPPED,6808,2025-06-24T00:00:00,Iris
242,CONFIRMED,52,2025-05-25T00:00:00,Eve
243,SHIPPED,9511,2025-12-04T00:00:00,Henry
244,SHIPPED,7326,2025-10-03T00:00:00,Henry
245,CONFIRMED,9052,2025-10-06T00:00:00,Grace
246,CONFIRMED,5282,2025-04-07T00:00:00,Dave
247,CONFIRMED,3836,2025-07-30T00:00:00,Alice
248,CONFIRMED,7759,2025-12-28T00:00:00,Grace
249,CONFIRMED,2502,2025-09-11T00:00:00,Alice
250,CONFIRMED,9679,2025-06-19T00:00:00,Bob
251,SHIPPED,7223,2025-02-21T00:00:00,Iris
252,CANCELLED,261,2025-03-15T00:00:00,Grace
253,SHIPPED,2539,2025-02-08T00:00:00,Henry
254,SHIPPED,4352,2025-06-23T00:00:00,Jack
255,SHIPPED,1325,2025-06-18T00:00:00,Iris
256,CONFIRMED,5198,2025-11-17T00:00:00,Henry
257,SHIPPED,598,2025-11-13T00:00:00,Bob
258,CONFIRMED,4718,2025-04-27T00:00:00,Bob
259,CONFIRMED,1622,2025-11-21T00:00:00,Bob
260,CONFIRMED,4916,2025-01-15T00:00:00,Alice
261,CONFIRMED,929,2025-05-31T00:00:00,Frank
262,CONFIRMED,2395,2025-05-06T00:00:00,Iris
263,CONFIRMED,2960,2025-03-29T00:00:00,Carol
264,DRAFT,6277,2025-11-14T00:00:00,Dave
265,CONFIRMED,9564,2025-03-15T00:00:00,Dave
266,CONFIRMED,4171,2025-08-24T00:00:00,Eve
267,SHIPPED,7632,2025-05-28T00:00:00,Iris
268,CONFIRMED,7247,2025-06-26T00:00:00,Jack
269,CONFIRMED,6961,2025-12-20T00:00:00,Eve
270,CONFIRMED,4959,2025-04-12T00:00:00,Grace
271,SHIPPED,1757,2025-05-02T00:00:00,Grace
272,CONFIRMED,9427,2025-06-01T00:00:00,Eve
273,DRAFT,6494,2025-05-21T00:00:00,Alice
274,CONFIRMED,813,2025-11-07T00:00:00,Henry
275,SHIPPED,4699,2025-04-28T00:00:00,Jack
276,SHIPPED,3598,2025-11-22T00:00:00,Dave
277,SHIPPED,2250,2025-11-18T00:00:00,Bob
278,CANCELLED,655,2025-06-08T00:00:00,Henry
279,DRAFT,5987,2025-03-09T00:00:00,Bob
280,CANCELLED,5362,2025-08-01T00:00:00,Carol
281,CONFIRMED,8847,2025-07-07T00:00:00,Iris
282,CONFIRMED,4475,2025-03-26T00:00:00,Eve
283,CANCELLED,7904,2025-06-01T00:00:00,Frank
284,SHIPPED,7683,2025-02-08T00:00:00,Carol
285,SHIPPED,3706,2025-12-13T00:00:00,Grace
286,CANCELLED,9141,2025-07-07T00:00:00,Bob
287,SHIPPED,238,2025-05-16T00:00:00,Iris
288,CONFIRMED,6048,2025-12-11T00:00:00,Eve
289,CONFIRMED,6096,2025-02-25T00:00:00,Dave
290,CONFIRMED,9208,2025-06-17T00:00:00,Jack
291,CONFIRMED,1045,2025-11-22T00:00:00,Henry
292,CANCELLED,4961,2025-11-29T00:00:00,Grace
293,CONFIRMED,752,2025-01-20T00:00:00,Eve
294,CANCELLED,1912,2025-02-19T00:00:00,Dave
295,SHIPPED,2232,2025-07-18T00:00:00,Henry
296,CONFIRMED,8860,2025-08-03T00:00:00,Jack
297,SHIPPED,2541,2025-08-01T00:00:00,Bob
298,SHIPPED,6696,2025-05-24T00:00:00,Alice
299,SHIPPED,3569,2025-08-16T00:00:00,Henry
300,CANCELLED,5952,2025-02-20T00:00:00,Frank
301,CONFIRMED,5886,2025-02-01T00:00:00,Grace
302,CONFIRMED,2011,2025-08-21T00:00:00,Bob
303,SHIPPED,9793,2025-01-11T00:00:00,Alice
304,SHIPPED,4000,2025-03-06T00:00:00,Jack
305,CONFIRMED,9090,2025-04-17T00:00:00,Jack
306,CONFIRMED,3827,2025-06-18T00:00:00,Carol
307,SHIPPED,9774,2025-01-02T00:00:00,Eve
308,SHIPPED,2380,2025-03-08T00:00:00,Iris
309,CONFIRMED,2868,2025-02-26T00:00:00,Alice
310,CONFIRMED,5879,2025-05-02T00:00:00,Jack
311,CONFIRMED,2864,2025-05-16T00:00:00,Alice
312,CONFIRMED,6907,2025-09-27T00:00:00,Bob
313,SHIPPED,7812,2025-08-18T00:00:00,Frank
314,CONFIRMED,1796,2025-08-20T00:00:00,Iris
315,CONFIRMED,720,2025-12-04T00:00:00,Iris
316,CONFIRMED,520,2025-02-01T00:00:00,Henry
317,SHIPPED,6994,2025-12-18T00:00:00,Bob
318,CONFIRMED,7277,2025-02-07T00:00:00,Bob
319,CONFIRMED,2440,2025-02-03T00:00:00,Carol
320,CONFIRMED,9600,2025-10-08T00:00:00,Frank
321,CONFIRMED,9797,2025-09-29T00:00:00,Eve
322,CONFIRMED,9929,2025-08-09T00:00:00,Bob
323,SHIPPED,1884,2025-12-02T00:00:00,Iris
324,SHIPPED,3532,2025-08-09T00:00:00,Henry
325,SHIPPED,6789,2025-06-23T00:00:00,Henry
326,CONFIRMED,1567,2025-06-10T00:00:00,Grace
327,CONFIRMED,4186,2025-07-11T00:00:00,Carol
328,SHIPPED,7780,2025-02-04T00:00:00,Bob
329,SHIPPED,1537,2025-08-10T00:00:00,Bob
330,SHIPPED,6115,2025-03-08T00:00:00,Iris
331,DRAFT,9211,2025-10-15T00:00:00,Frank
332,SHIPPED,6740,2025-07-01T00:00:00,Grace
333,SHIPPED,852,2025-05-28T00:00:00,Jack
334,CONFIRMED,1707,2025-10-23T00:00:00,Iris
335,CONFIRMED,7910,2025-04-25T00:00:00,Bob
336,CONFIRMED,9123,2025-07-08T00:00:00,Bob
337,SHIPPED,9416,2025-04-26T00:00:00,Grace
338,SHIPPED,9131,2025-01-14T00:00:00,Jack
339,CANCELLED,4391,2025-01-15T00:00:00,Carol
340,CONFIRMED,5072,2025-06-23T00:00:00,Frank
341,DRAFT,2357,2025-10-17T00:00:00,Grace
342,DRAFT,512,2025-02-16T00:00:00,Iris
343,CONFIRMED,6888,2025-08-21T00:00:00,Frank
344,CONFIRMED,5115,2025-06-16T00:00:00,Jack
345,CONFIRMED,871,2025-03-21T00:00:00,Carol
346,SHIPPED,825,2025-12-12T00:00:00,Bob
347,CONFIRMED,6957,2025-09-06T00:00:00,Jack
348,CONFIRMED,4485,2025-04-21T00:00:00,Iris
349,CONFIRMED,7053,2025-02-26T00:00:00,Eve
350,SHIPPED,9727,2025-09-07T00:00:00,Iris
351,SHIPPED,754,2025-04-23T00:00:00,Grace
352,CANCELLED,907,2025-01-04T00:00:00,Dave
353,CONFIRMED,3470,2025-03-12T00:00:00,Eve
354,CONFIRMED,1975,2025-01-04T00:00:00,Henry
355,SHIPPED,2888,2025-03-08T00:00:00,Grace
356,CONFIRMED,3780,2025-09-14T00:00:00,Iris
357,SHIPPED,5812,2025-02-06T00:00:00,Grace
358,SHIPPED,703,2025-08-12T00:00:00,Alice
359,CONFIRMED,1285,2025-06-10T00:00:00,Jack
360,CONFIRMED,6636,2025-12-30T00:00:00,Grace
361,CONFIRMED,6646,2025-01-11T00:00:00,Frank
362,CONFIRMED,7548,2025-12-20T00:00:00,Frank
363,DRAFT,1744,2025-05-05T00:00:00,Grace
364,CONFIRMED,8594,2025-02-10T00:00:00,Grace
365,SHIPPED,5572,2025-04-24T00:00:00,Frank
366,SHIPPED,1261,2025-09-19T00:00:00,Bob
367,CONFIRMED,3186,2025-06-28T00:00:00,Frank
368,SHIPPED,2429,2025-05-01T00:00:00,Bob
369,CONFIRMED,3242,2025-03-30T00:00:00,Jack
370,CONFIRMED,1244,2025-04-01T00:00:00,Henry
371,CONFIRMED,9246,2025-10-24T00:00:00,Henry
372,SHIPPED,9258,2025-11-26T00:00:00,Jack
373,CONFIRMED,5189,2025-03-19T00:00:00,Henry
374,DRAFT,7255,2025-11-20T00:00:00,Eve
375,SHIPPED,9699,2025-01-29T00:00:00,Frank
376,CONFIRMED,5095,2025-08-25T00:00:00,Henry
377,DRAFT,6051,2025-05-27T00:00:00,Bob
378,SHIPPED,1489,2025-11-11T00:00:00,Jack
379,CONFIRMED,7591,2025-10-25T00:00:00,Iris
380,CANCELLED,682,2025-08-19T00:00:00,Jack
381,SHIPPED,5277,2025-11-06T00:00:00,Henry
382,CONFIRMED,1023,2025-08-19T00:00:00,Bob
383,SHIPPED,5636,2026-01-01T00:00:00,Bob
384,CONFIRMED,2837,2025-01-21T00:00:00,Dave
385,SHIPPED,7209,2025-09-26T00:00:00,Iris
386,SHIPPED,5972,2025-07-10T00:00:00,Eve
387,CONFIRMED,5553,2025-12-14T00:00:00,Jack
388,DRAFT,5492,2025-02-03T00:00:00,Frank
389,DRAFT,6343,2025-05-26T00:00:00,Eve
390,SHIPPED,9884,2025-03-18T00:00:00,Frank
391,DRAFT,2327,2025-06-29T00:00:00,Eve
392,CANCELLED,6431,2025-03-08T00:00:00,Jack
393,SHIPPED,1398,2025-06-08T00:00:00,Iris
394,CONFIRMED,5391,2025-03-07T00:00:00,Iris
395,DRAFT,6947,2025-09-18T00:00:00,Frank
396,DRAFT,5070,2025-04-03T00:00:00,Dave
397,CONFIRMED,7977,2025-04-09T00:00:00,Dave
398,CANCELLED,2548,2025-02-09T00:00:00,Eve
399,SHIPPED,1667,2025-09-17T00:00:00,Iris
400,SHIPPED,8636,2025-01-20T00:00:00,Frank
401,SHIPPED,2157,2025-11-02T00:00:00,Grace
402,CONFIRMED,2972,2025-12-21T00:00:00,Jack
403,SHIPPED,2722,2025-08-13T00:00:00,Alice
404,CONFIRMED,3901,2025-08-16T00:00:00,Jack
405,CONFIRMED,7365,2025-04-30T00:00:00,Iris
406,CONFIRMED,7694,2025-04-10T00:00:00,Frank
407,SHIPPED,9355,2025-08-14T00:00:00,Henry
408,SHIPPED,6266,2025-09-15T00:00:00,Iris
409,CONFIRMED,2665,2025-04-13T00:00:00,Jack
410,CONFIRMED,4106,2025-01-27T00:00:00,Henry
411,SHIPPED,9095,2025-02-22T00:00:00,Iris
412,SHIPPED,4680,2025-02-12T00:00:00,Carol
413,CONFIRMED,8420,2025-03-17T00:00:00,Grace
414,DRAFT,3647,2025-08-19T00:00:00,Frank
415,CANCELLED,6807,2025-01-28T00:00:00,Grace
416,CONFIRMED,3872,2025-07-17T00:00:00,Bob
417,CONFIRMED,471,2025-06-13T00:00:00,Bob
418,SHIPPED,5503,2025-03-16T00:00:00,Carol
419,DRAFT,7750,2025-12-23T00:00:00,Carol
420,SHIPPED,7695,2025-08-18T00:00:00,Jack
421,DRAFT,1308,2025-01-10T00:00:00,Eve
422,CONFIRMED,2459,2025-10-08T00:00:00,Jack
423,CONFIRMED,1831,2025-05-28T00:00:00,Dave
424,CONFIRMED,792,2025-05-03T00:00:00,Grace
425,SHIPPED,7499,2025-02-02T00:00:00,Bob
426,SHIPPED,8199,2025-11-02T00:00:00,Iris
427,DRAFT,8453,2025-10-22T00:00:00,Dave
428,SHIPPED,4782,2025-08-08T00:00:00,Alice
429,SHIPPED,3951,2025-10-20T00:00:00,Grace
430,CONFIRMED,1412,2025-09-26T00:00:00,Frank
431,DRAFT,8628,2025-10-06T00:00:00,Iris
432,SHIPPED,8326,2025-10-11T00:00:00,Alice
433,CONFIRMED,7712,2025-01-23T00:00:00,Grace
434,CANCELLED,4165,2025-01-09T00:00:00,Frank
435,SHIPPED,5659,2025-05-04T00:00:00,Bob
436,SHIPPED,5457,2025-03-10T00:00:00,Alice
437,CONFIRMED,5556,2025-11-26T00:00:00,Carol
438,SHIPPED,7622,2025-12-23T00:00:00,Henry
439,SHIPPED,2219,2025-02-02T00:00:00,Henry
440,DRAFT,3312,2025-01-23T00:00:00,Dave
441,SHIPPED,5180,2025-06-08T00:00:00,Iris
442,CONFIRMED,8907,2025-08-31T00:00:00,Eve
443,DRAFT,3141,2025-05-27T00:00:00,Frank
444,SHIPPED,793,2025-12-02T00:00:00,Frank
445,CONFIRMED,6039,2025-08-12T00:00:00,Grace
446,SHIPPED,6344,2025-06-23T00:00:00,Carol
447,CONFIRMED,8161,2025-07-08T00:00:00,Iris
448,CONFIRMED,1363,2025-08-06T00:00:00,Bob
449,CONFIRMED,2966,2025-10-07T00:00:00,Eve
450,CONFIRMED,1321,2025-06-17T00:00:00,Eve
451,CONFIRMED,9883,2025-08-07T00:00:00,Carol
452,SHIPPED,5769,2025-08-17T00:00:00,Alice
453,SHIPPED,5786,2025-11-11T00:00:00,Grace
454,CONFIRMED,949,2025-02-08T00:00:00,Grace
455,CONFIRMED,2631,2025-01-16T00:00:00,Carol
456,SHIPPED,7189,2025-01-18T00:00:00,Carol
457,DRAFT,6011,2025-07-05T00:00:00,Grace
458,CANCELLED,540,2025-11-06T00:00:00,Carol
459,SHIPPED,6087,2025-07-10T00:00:00,Henry
460,SHIPPED,9413,2025-03-12T00:00:00,Iris
461,CONFIRMED,5160,2025-11-29T00:00:00,Eve
462,CONFIRMED,1868,2025-01-14T00:00:00,Carol
463,CONFIRMED,6350,2025-10-15T00:00:00,Bob
464,CONFIRMED,4274,2025-12-27T00:00:00,Henry
465,CONFIRMED,4688,2025-12-22T00:00:00,Henry
466,CONFIRMED,2233,2025-02-07T00:00:00,Henry
467,CONFIRMED,7302,2025-02-14T00:00:00,Frank
468,SHIPPED,1073,2025-10-09T00:00:00,Iris
469,CONFIRMED,4924,2025-03-22T00:00:00,Carol
470,SHIPPED,8345,2025-04-25T00:00:00,Bob
471,CANCELLED,2285,2025-05-02T00:00:00,Henry
472,DRAFT,9087,2025-10-21T00:00:00,Frank
473,CONFIRMED,9048,2025-03-08T00:00:00,Jack
474,SHIPPED,1087,2025-06-08T00:00:00,Grace
475,CANCELLED,7852,2025-09-27T00:00:00,Grace
476,SHIPPED,9429,2025-02-07T00:00:00,Carol
477,CANCELLED,1225,2025-08-19T00:00:00,Henry
